symbol,date,close,volume,quote_volume,open,high,low
ETHUSDT,2025-08-11,4223.22,722664.04,3089081112.554874,4250.58,4366.46,4166.77
BTCUSDT,2025-08-11,118686.0,26494.33429,3194611530.5410695,119294.27,122335.16,118050.11
ETHUSDT,2025-08-12,4590.52,885288.0652,3918279210.053929,4223.22,4639.7,4219.04
BTCUSDT,2025-08-12,120134.08,16720.10893,1992762473.5852578,118686.0,120324.43,118207.47
ETHUSDT,2025-08-13,4749.3,925931.4988,4334944436.910635,4590.52,4783.85,4564.33
BTCUSDT,2025-08-13,123306.43,23210.07102,2811581348.3874574,120134.09,123667.79,118920.92
BTCUSDT,2025-08-14,118295.09,27980.947586,3359128391.108524,123306.44,124474.0,117180.0
ETHUSDT,2025-08-14,4546.84,1265449.0453,5853669749.165808,4749.31,4788.0,4451.33
ETHUSDT,2025-08-15,4439.47,880409.2591,3978902618.058779,4546.84,4672.67,4368.0
BTCUSDT,2025-08-15,117342.05,13623.33874,1607609329.685101,118295.09,119216.82,116803.99
BTCUSDT,2025-08-16,117380.66,6393.68117,751719391.7723638,117342.04,117898.99,117143.98
ETHUSDT,2025-08-16,4421.99,358676.5884,1587545552.644884,4439.47,4490.42,4372.54
BTCUSDT,2025-08-17,117405.01,5898.64192,695629197.9038073,117380.66,118575.0,117172.21
ETHUSDT,2025-08-17,4472.33,442461.3829,1990037593.51367,4422.0,4576.0,4393.98
ETHUSDT,2025-08-18,4312.99,823188.1269,3561988639.06488,4472.34,4481.88,4225.86
BTCUSDT,2025-08-18,116227.05,17745.93954,2053814085.4717774,117405.01,117543.75,114640.14
ETHUSDT,2025-08-19,4075.59,831222.7951,3499853674.637695,4312.99,4355.0,4067.34
BTCUSDT,2025-08-19,112872.94,18065.47424,2065010895.8584664,116227.05,116725.69,112732.58
ETHUSDT,2025-08-20,4336.16,728324.8933,3077553918.18234,4075.58,4378.0,4060.0
BTCUSDT,2025-08-20,114271.24,15636.34194,1776149566.1247735,112872.95,114615.38,112380.0
BTCUSDT,2025-08-21,112500.0,10839.69235,1227373788.615563,114271.23,114821.76,112015.67
ETHUSDT,2025-08-21,4225.3,433836.3992,1854414176.529447,4336.16,4340.26,4204.2
ETHUSDT,2025-08-22,4832.07,1277976.63526,5850514269.296542,4225.3,4887.59,4207.39
BTCUSDT,2025-08-22,116935.99,23128.09037,2656625122.2777867,112500.0,117429.05,111684.79
ETHUSDT,2025-08-23,4778.4,512442.0888,2428561923.417837,4832.07,4832.07,4659.7
BTCUSDT,2025-08-23,115438.05,11329.36197,1308825428.0143585,116936.0,117030.0,114560.0
ETHUSDT,2025-08-24,4780.15,780668.77842,3755014998.446702,4778.4,4956.78,4711.0
BTCUSDT,2025-08-24,113493.59,21175.98462,2411284606.1891766,115438.06,115666.68,110680.0
ETHUSDT,2025-08-25,4376.18,1043917.1659,4769033242.728044,4780.15,4797.97,4334.13
BTCUSDT,2025-08-25,110111.98,25182.79379,2805570653.631023,113493.59,113667.28,109274.1
ETHUSDT,2025-08-26,4600.63,834750.2767,3739773474.021506,4376.17,4633.46,4311.04
BTCUSDT,2025-08-26,111763.22,18452.43877,2033437347.4999392,110111.98,112371.0,108666.66
ETHUSDT,2025-08-27,4506.71,606669.3611,2784659238.301701,4600.63,4663.93,4481.53
BTCUSDT,2025-08-27,111262.01,13392.60875,1493774927.190832,111763.22,112625.0,110345.42
ETHUSDT,2025-08-28,4511.21,485243.4027,2202472276.64976,4506.71,4633.97,4430.0
BTCUSDT,2025-08-28,112566.9,11104.27744,1250788481.9453218,111262.01,113485.9,110862.42
BTCUSDT,2025-08-29,108377.4,22580.31045,2475492492.57753,112566.9,112638.64,107463.9
ETHUSDT,2025-08-29,4360.18,679063.8777,2969120530.274377,4511.2,4516.75,4265.0
ETHUSDT,2025-08-30,4373.7,340319.1826,1483613909.749367,4360.18,4415.61,4257.2
BTCUSDT,2025-08-30,108816.33,10708.39159,1160666772.7387524,108377.4,108926.15,107350.1
ETHUSDT,2025-08-31,4391.83,356586.1861,1588952837.432261,4373.7,4498.47,4372.63
BTCUSDT,2025-08-31,108246.35,9489.51596,1031806894.3513318,108816.33,109480.02,108076.93
ETHUSDT,2025-09-01,4314.5,513830.0395,2244610986.86617,4391.83,4491.84,4210.61
BTCUSDT,2025-09-01,109237.42,16053.60219,1742516638.781135,108246.36,109912.4,107255.0
ETHUSDT,2025-09-02,4326.5,524605.0512,2275752549.704531,4314.5,4416.78,4257.85
BTCUSDT,2025-09-02,111240.01,18510.28756,2042681451.9016385,109237.43,111771.52,108393.39
ETHUSDT,2025-09-03,4450.46,487091.6861,2146232316.546182,4326.49,4490.64,4283.23
